-50.333,2.5926-0.075978j,2.5781-0.036005j
-49.667,2.5905-0.071967j,2.5761-0.032047j
-49,2.587-0.069733j,2.5727-0.029833j
-48.333,2.5831-0.069655j,2.5688-0.029744j
-47.667,2.5799-0.07159j,2.5656-0.031644j
-47,2.5779-0.07495j,2.5637-0.034957j
-46.333,2.5777-0.078873j,2.5634-0.038833j
-45.667,2.5791-0.082442j,2.5647-0.042368j
-45,2.5815-0.084902j,2.5671-0.044811j
-44.333,2.5842-0.08581j,2.5698-0.045724j
-43.667,2.5865-0.085112j,2.572-0.045046j
-43,2.5876-0.083114j,2.5732-0.043075j
-42.333,2.5873-0.080377j,2.5729-0.040362j
-41.667,2.5856-0.077564j,2.5712-0.037563j
-41,2.583-0.075279j,2.5686-0.035275j
-40.333,2.5801-0.073934j,2.5658-0.03391j
-39.667,2.5776-0.07368j,2.5633-0.033623j
-39,2.5762-0.074397j,2.5619-0.034301j
-38.333,2.5761-0.07576j,2.5618-0.035627j
-37.667,2.5775-0.077338j,2.5632-0.037178j
-37,2.58-0.078704j,2.5657-0.038533j
-36.333,2.5831-0.079544j,2.5688-0.039381j
-35.667,2.5861-0.079713j,2.5718-0.039576j
-35,2.5884-0.079257j,2.5741-0.039161j
-34.333,2.5896-0.078378j,2.5753-0.038334j
-33.667,2.5895-0.077375j,2.5752-0.037386j
-33,2.5882-0.076561j,2.574-0.036629j
-32.333,2.5862-0.076196j,2.5721-0.036315j
-31.667,2.584-0.076428j,2.5698-0.036591j
-31,2.5821-0.077271j,2.5679-0.03747j
-30.333,2.5809-0.078617j,2.5666-0.038839j
-29.667,2.5805-0.080257j,2.5662-0.040485j
-29,2.5809-0.081926j,2.5665-0.042139j
-28.333,2.5818-0.083346j,2.5672-0.043517j
-27.667,2.5825-0.08426j,2.5678-0.044359j
-27,2.5828-0.084461j,2.568-0.044455j
-26.333,2.5823-0.083812j,2.5674-0.043673j
-25.667,2.5808-0.082262j,2.566-0.041969j
-25,2.5788-0.079858j,2.564-0.039408j
-24.333,2.5766-0.076767j,2.5619-0.036174j
-23.667,2.5749-0.073281j,2.5605-0.032585j
-23,2.5746-0.069819j,2.5604-0.029079j
-22.333,2.576-0.066902j,2.5621-0.026195j
-21.667,2.5794-0.065093j,2.5657-0.024506j
-21,2.5844-0.064916j,2.571-0.024533j
-20.333,2.5905-0.066739j,2.5771-0.026632j
-19.667,2.5963-0.070663j,2.583-0.03088j
-19,2.6007-0.076435j,2.5873-0.036991j
-18.333,2.6025-0.083411j,2.5888-0.044285j
-17.667,2.6008-0.090605j,2.5868-0.051739j
-17,2.5953-0.096823j,2.581-0.058128j
-16.333,2.5867-0.10088j,2.572-0.062243j
-15.667,2.5761-0.10186j,2.561-0.063154j
-15,2.5653-0.099379j,2.5497-0.060466j
-14.333,2.5561-0.093744j,2.5401-0.054505j
-13.667,2.5503-0.08605j,2.534-0.046378j
-13,2.5491-0.078064j,2.5326-0.03788j
-12.333,2.5526-0.071982j,2.5362-0.031244j
-11.667,2.5602-0.070056j,2.5439-0.028768j
-11,2.5702-0.074186j,2.5542-0.032408j
-10.333,2.5803-0.085573j,2.5647-0.043428j
-9.6667,2.5881-0.10452j,2.5731-0.062203j
-9,2.5918-0.13047j,2.5774-0.088235j
-8.3333,2.5903-0.16224j,2.5765-0.12038j
-7.6667,2.5837-0.19839j,2.5702-0.15723j
-7,2.5728-0.23762j,2.5594-0.19744j
-6.3333,2.5593-0.27892j,2.5453-0.23993j
-5.6667,2.5448-0.32139j,2.5296-0.28369j
-5,2.5308-0.36374j,2.5135-0.32732j
-4.3333,2.5189-0.40368j,2.4985-0.36853j
-3.6667,2.5116-0.43802j,2.487-0.40424j
-3,2.5128-0.46385j,2.4827-0.43183j
-2.3333,2.527-0.48104j,2.49-0.45141j
